"Click to View More","Agency","Program","Data Category","Data Element Name","Data Element Definition","Data Type","Years Available"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Financial Aid","Dependency Status","A student's classification as dependent or independent with regards to eligibility for Title IV Federal Student aid during the term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Financial Aid","Title IV Participant and Recipient","Student receives Title IV aid in this term .         
*Title IV aid includes grant aid, work study aid, and loan aid such as: Federal Pell Grant, Federal Supplemental Educational Opportunity Grant (FSEOG), Teacher Education Assistance for College and Higher Education (TEACH) Grant, Federal Work-Study, Federal Perkins Loan, Subsidized Direct or FFEL Stafford Loan, and Unsubsidized Direct or FFEL Stafford Loan. Title IV aid specifications are defined by the instructions for the IPEDS Student Financial Aid survey.*",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Financial Aid","Pell Grant Recipient","Student receives a Pell grant in this term .",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Financial Aid","Governor’s Scholarship Program: Need-Based (GSPN, previously CICSG)","Student receives a Need-Based Governor’s Scholarship Program (GSPN) or CICSG in this term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Financial Aid","Governor’s Scholarship Program: Need-Based (GSPN, previously CICSG) Amount","The amount of GSPN or CICSG received in this term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Financial Aid","Governor’s Scholarship Program: Merit-Based (GSPM, previously Capitol Scholarship Program)","Student receives a Merit-Based Governor’s Scholarship Program (GSPM) or Capitol Scholarship Program in this term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Financial Aid","Governor’s Scholarship Program: Merit-Based (GSPM, previously Capitol Scholarship Program) Amount","The amount of GSPM or Capitol Scholarship Program received in this term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Financial Aid","Expected Family Contribution","The Expected Family Contribution (EFC) for this academic year.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Financial Aid","Total Need-Based Grant Aid Received","The Total Need-Based Grant Received during the term or year.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Financial Aid","Total Non-Need-Based Grant Aid Received","The Total Non-Need-Based Grant Received during the term or year.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Financial Aid","Aid Amounts Term or Year Based","Are aid amounts shown based on term or academic year?",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Financial Aid","Non-Custodial Parent Income Considered","Do aid decisions/calculations take into account non-custodial parent's income (if applicable)?",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Term GPA","The student's term GPA.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Cumulative GPA","The student's cumulative GPA as of the end of the term. 
*This is obtained by dividing the total grade points received by the total number of credits attempted. This may include grade points received and credits attempted in his or her current school as well as those transferred from schools in which the person was previously enrolled.*",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Institutional Term Credits Completed - Towards Degree","Institutional credits student successfully earned through your institution and affiliated programs (e.g. institutional run study abroad programs, cross-registration with other schools) during this term that count towards degree completion.                                                                                                                                         
*Do not include pre-matriculation credits nor transfer credits*",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Transfer Term Credits Completed - Towards Degree","Transfer credits student successfully earned during this term that count towards degree completion.    
*Do not include pre-matriculation credits*",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Major1 During Term","The student's first declared major during the term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Minor1 During Term","The student's first declared minor during the term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Major2 During Term","The student's second  declared major during the term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Minor2 During Term","The student's second declared minor during the term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Major3 During Term","The student's third declared major during the term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Minor3 During Term","The student's third declared minor during the term.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Current or Last Known Status","Current or last known status for the student",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Terminal Status Date","The date on which the student's enrollment officially ended.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Transfer To Institution","Institution to which student transferred",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Academic Summary","Transfer To Institution CEEB Code","CEEB code for Institution to which student transferred",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Graduation","Degree Awarded 1","First degree awarded to the student.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Graduation","Degree Date 1","Date first degree awarded to the student.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Major1 at Degree 1","The student's first major at first degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Major2 at Degree 1","The student's second major at first degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Major3 at Degree 1","The student's third major at first degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Minor1 at Degree 1","The student's first minor at first degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Minor2 at Degree 1","The student's second minor at first degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Minor3 at Degree 1","The student's third minor at first degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Degree Awarded 2","Second degree awarded to the student.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Degree Date 2","Date second degree awarded to the student.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Major1 at Degree 2","The student's first major at second degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Major2 at Degree 2","The student's second major at second degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Major3 at Degree 2","The student's third major at second degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Minor1 at Degree 2","The student's first minor at second degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Minor2 at Degree 2","The student's second minor at second degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Minor3 at Degree 2","The student's third minor at second degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Degree Awarded 3","Third degree awarded to the student.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Degree Date 3","Date third degree awarded to the student.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Major1 at Degree 3","The student's first major at third degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Major2 at Degree 3","The student's second major at third degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Major3 at Degree 3","The student's third major at third degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Minor1 at Degree 3","The student's first minor at third degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Minor2 at Degree 3","The student's second minor at third degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Minor3 at Degree 3","The student's third minor at third degree.",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Course Subject 1","The subject for the student's course",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Course Number 1","The subject for the student's course",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Course Title 1","The title for the student's course",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Course Type 1","The type for the student's course",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Course Credits 1","The credits awarded for successful completion of the student's course",NA,"2005 to 2021"
"&oplus;","Connecticut Conference of Independent Colleges (CCIC)","CCIC Member Institutions","Program","Course Grade 1","The Grade awarded for the student's course",NA,"2005 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Academic Summary","Enrollment Status","A determination as to whether the student is enrolled on a full-time or part-time basis.  If the student is enrolled for 12 or more credits (as calculated using Term_Attempted_Hrs), the student is considered full-time.
Full Time
Part Time

Depends on run code.  At beginning of term, this field refers to 'attempted' credits; at the end of the term it refers to credits 'achieved'.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Academic Summary","Overall Attempted Hours","Total hours attempted overall by the student including hours from developmental/remedial courses.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Academic Summary","Overall Earned Academic Hours","This field was derived to provide the number of credit hours a student has earned overall.  (It does not include remedial/developmental hours.  It does include transfer and institutional credits.)",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Academic Summary","Overall GPA","Cumulative GPA as of date of the extract (e.g. at community colleges this is calculated as Total Quality Points for college level courses divided by the Overall_GPA_hours.)  Note:  There are differences between the 12 community colleges as some include developmental courses in the GPA hours.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Academic Summary","Overall Institutional Earned Hours","Cumulative number of credits earned by taking credit courses at the university",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Academic Summary","Overall Transfer Earned Hours","Cumulative transfer credits earned and accepted as of the time of the extract.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Academic Summary","Remedial English Enrolled","This field was derived to indicate whether the student is enrolled in a Remedial English Course during the given term.
Y - Yes
N- No

This field does not reflect the types of remedial courses that institutions are piloting for PA 12-40, but is driven by a list of course numbers that were applicable for 2006 through  fall 2012, but are likely out of date for fall 2013.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Academic Summary","Remedial Math Enrolled","This field was derived to indicate whether the student is enrolled in a Remedial Math Course during the given term.
Y - Yes
N- No

This field does not reflect the types of remedial courses that institutions are piloting for PA 12-40, but is driven by a list of course numbers that were applicable for 2006 through  fall 2012, but are likely out of date for fall 2013.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Academic Summary","Term Attempted Total Credits","The number of hours a student registers for at the beginning of the term.  Total hours attempted during the semester including developmental hours.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Academic Summary","Term GPA","GPA for the current term.  (at community colleges this is calculated as Total Quality Points for college level courses at end of term divided by the Term_GPA_hours.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Financial Aid Award","Financial Aid Accepted Amount","Amount of award accepted by student",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Financial Aid Award","Financial Aid Paid Amount","Amount of award paid to student’s account",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Financial Aid Year","Financial Aid - Aid Year","The year for which the financial aid should be applied to the student's account.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Financial Aid Fund","Financial Aid Fund Name","Name of fund  awarded to student",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Financial Aid Fund","Financial Aid Fund Name Description","Fund name description",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Financial Aid Fund","Financial Aid Fund Source","Name of the Fund Source (e.g. STAT, Priv, Fdrl)",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Financial Aid Fund","Financial Aid Fund Type","Type of the Fund,  eg.work, loan, grant, school
LOAN - Loan
SCHL - School
GRNT - Grant
WORK - Work
",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Graduation","Age at Graduation","Age at time of graduation",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Graduation","Graduation Date","Anticipated graduation date",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Graduation","Graduation Status","Graduation status",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Placement","Placement Test Code","A 4 digit code for placement test such as Accuplacer, SAT, ACT, Arnett Nursing and a few others

For the Accuplacer, the digits are defined as follows:
1st digit = college  
2nd digit = 'A' for Accuplacer
3rd and 4th = 01-09 specifying which test
 (e.g. DA04, IA09, CA09, EA03)

B = MaCC
C = NWCC
D = Norwalk NKCC
E = HOCC
F = MXCC
G = CACC
H = NVCC
I = GWCC
J = TXCC
K = TRCC
L = QVCC
M = Asnuntuck

MSAT = new SAT math
WSAT = new SAT writing
SATV = SAT Verbal

*see Jan Kiehne for full list of options

",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Placement","Placement Test Date","Date on which the test was taken by the applicant.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Placement","Placement Test Name","Description of the Placement Test",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Placement","Placement Test Score","Test Score",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Program","Program","A 7 letter Program code that uniquely identifies a program offered in each institution. Unique to each institution.
last 4 digits = major code
1st and 4th = college letter
digits 2&3 = 
C13CJ81 = deaf studies,",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Program","CIP Code Major 1 
CIP Code Major 2
CIP Code Major 3
Major 2 CIP Code
etc.","The CIP code that applies to the major.  The Classification of Instructional Program (CIP) codes are six-digit codes in the form xxxxxx that identifies instructional program specialties within educational institutions.  http://nces.ed.gov/ipeds/cipcode/Default.aspx?y=55",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Program","CIP Description","Classification of Instructional Program Code text description",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Program","degree Code","Unique Degree Code to identify the degrees offered.
AS = Associate in Science
CERT = Certificate
AA = Associate in Arts
000000 = Undeclared
AAS = Associate in Applied Science",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Program","Degree Code Description","Text description of the type of degree associated with Program.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Program","Program Description","Name of the Program offered.  Unique to each institution",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Program","Major","Major as identified at the time of registration.  Could Change each semester or as the student changes their major.  (e.g. FA43; GA66)
digit 1 = letter code for college
digit 2 = letter code pertaining to type of major
digit 3-4 = numeric code 01-99
A – E  reserved for majors leading to a degree
F   reserved for system wide shared programs
G   not currently being used
H   reserved for HR needs
I   not used to avoid confusion with 1
J – N  reserved for credit Certificate Programs
O not used to avoid confusion with 0
P   reserved for generic non-credit major
Q – S reserved for non-credit certificates 
T reserved for combined credit and non-credit course certificates
U – Y not currently in use
Z special non-degree seeking majors
 Z95 non-degree/Tech
 Z97 non-degree/General Studies
 Z98 non-degree/matric
 Z99 non-degree/non-matric
",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Program","Major Description","Description of the Major.  (e.g. Broadcast Communications; Bus Mgt: Bank Mgt)",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Highest Education Level","The extent of formal instruction a person has received as reported on the student's transcript.  
0 = No diploma or degree
1 = High School Diploma
2 = GED - Grad Equiv Diploma
3 = Associate Degree
4 = Bachelor Degree
5 = Masters Degree
6 = 6th Year Certificate
7 = Doctorate
8 = Certificate Program",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Term of Admission","Term of first admission for the given level. Fall98, SPRG96, WINT95, SUMM85, ….",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Current City","City of the student's current address",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Effective Date","Start Date when the record was/is active",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Ethnicity Hispanic","An indication that the person traces his or her origin or descent to Mexico, Puerto Rico, Cuba, Central and South America, and other Spanish cultures, regardless of race.
Y = Yes,
N = No,
NULL
",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Expiration Date","End Date until when the record was/is/will be active",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","First Class Term Code","The first term in which a student took a course for credit.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Gender","Gender of the Student. 
M = Male
F = Female",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","High School Code","College Board High School Code assigned to the high school (e.g. 70323 - RHAM High School)",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","High School Graduation Year","Year in which a student graduated from High School",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","High School Name","Name of the High School attended from College Board as translated from the code.",NA,"1999 to 2021"
"&oplus;","Connecticut State Colleges and Universities (CSCU)","Community Colleges","Student","Institution Code","This is the Institution number.  Each number pertains to a different CC/CSU campus. 
01 System Office
02 Manchester
03 Northwestern CT
04 Norwalk
05 Housatonic
06 Middlesex
07 Capital
08 Naugatuck Valley
09 Gateway
10 Tunxis
11 Three Rivers
12 Quinebaug Valley
13 Asnuntuck",NA,"1999 to 2021"
